id,type_of_data,date,time_init,last_update,status
1,TickData_structure,20 Mar 2023,2023-03-21 07:30:16,2023-03-21 07:39:57,Not Completed
2,TC_20230316,16 Mar 2023,2023-03-21 07:35:52,2023-03-21 07:43:55,Completed
